日期	类型	数量
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/19	产品C	1584
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品A	1576
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品B	855
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/21	产品A	1544
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/21	产品B	891
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/21	产品C	1545
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/22	产品A	1349
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/22	产品B	986
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/22	产品C	1579
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/23	产品A	1556
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/23	产品B	983
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/23	产品C	1518
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/24	产品B	889
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/24	产品C	1593
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/25	产品A	1264
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/25	产品B	993
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/25	产品C	1583
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/26	产品A	1583
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/26	产品C	1559
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/27	产品A	1524
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/27	产品B	874
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/27	产品C	1567
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/28	产品B	984
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/28	产品C	1579
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/29	产品A	1216
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/30	产品A	1532
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/30	产品B	888
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/30	产品C	1532
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/31	产品A	1285
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/31	产品B	910
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/31	产品C	1537
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/1	产品C	1535
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/2	产品A	1407
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/2	产品C	1509
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/3	产品A	1519
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/3	产品B	917
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/4	产品A	1564
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/4	产品B	997
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/5	产品A	1297
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/6	产品A	1255
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/6	产品B	901
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/6	产品C	1505
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/7	产品A	1282
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/7	产品B	933
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/7	产品C	1482
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/8	产品A	1298
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/8	产品B	1015
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/8	产品C	1461
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/9	产品A	1524
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/9	产品B	1090
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/9	产品C	1471
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/10	产品B	1099
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/11	产品B	908
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/11	产品C	1455
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/12	产品B	1088
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/12	产品C	1460
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/13	产品B	1003
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/13	产品C	1479
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/14	产品A	1252
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/14	产品B	999
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/14	产品C	1549
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/15	产品B	946
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/15	产品C	1528
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/16	产品A	1343
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/16	产品B	1008
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/16	产品C	1546
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/17	产品A	1389
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/17	产品B	1027
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/17	产品C	1515
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/18	产品B	904
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/18	产品C	1471
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/19	产品A	1446
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/19	产品C	1533
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品B	981
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/21	产品B	930
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/21	产品C	1451
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/22	产品B	1068
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/22	产品C	1472
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/23	产品A	1450
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/23	产品B	1025
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/23	产品C	1473
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/24	产品A	1346
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/24	产品B	940
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/24	产品C	1533
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/25	产品A	1329
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/25	产品B	938
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/26	产品A	1435
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/26	产品C	1516
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/27	产品A	1341
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/27	产品B	960
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/28	产品A	1454
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/28	产品B	1041
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/29	产品A	1415
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/29	产品B	1004
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/2/29	产品C	1542
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/1	产品A	1541
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/1	产品B	1036
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/2	产品A	1411
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/2	产品B	1106
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/2	产品C	1443
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/3	产品A	1540
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/3	产品C	1431
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/4	产品A	1534
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/4	产品B	1100
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/5	产品A	1528
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/5	产品B	1105
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/5	产品C	1489
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/6	产品A	1530
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/6	产品B	1000
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/6	产品C	1439
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/7	产品A	1452
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/7	产品B	1139
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/8	产品A	1251
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/8	产品C	1451
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/9	产品B	1136
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/9	产品C	1479
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/10	产品A	1514
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/10	产品B	1158
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/10	产品C	1417
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/11	产品A	1332
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/11	产品C	1424
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/12	产品B	1081
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/13	产品A	1333
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/13	产品B	1040
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/13	产品C	1457
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/14	产品A	1445
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/14	产品B	1110
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/14	产品C	1492
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/16	产品B	1110
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/16	产品C	1432
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/17	产品B	1056
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/17	产品C	1405
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/18	产品A	1369
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/18	产品B	1118
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/18	产品C	1400
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/19	产品B	1174
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/19	产品C	1452
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品A	1556
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品B	1141
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品C	1439
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/21	产品A	1508
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/21	产品B	1097
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/23	产品A	1578
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/23	产品B	1149
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/23	产品C	1427
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/24	产品B	1159
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/24	产品C	1423
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/25	产品A	1590
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/25	产品B	1169
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/25	产品C	1466
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/26	产品A	1527
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/26	产品B	1117
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/26	产品C	1440
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/27	产品B	1163
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/27	产品C	1457
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/28	产品A	1337
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/28	产品C	1456
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/29	产品A	1480
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/29	产品B	1011
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/29	产品C	1425
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/30	产品A	1563
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/30	产品C	1476
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/31	产品A	1521
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/31	产品B	1012
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/3/31	产品C	1481
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/1	产品A	1542
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/1	产品B	1235
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/1	产品C	1427
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/2	产品A	1443
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/2	产品B	1245
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/2	产品C	1362
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/3	产品A	1301
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/3	产品B	1238
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/4	产品A	1242
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/4	产品C	1449
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/5	产品A	1481
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/5	产品B	1293
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/5	产品C	1357
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/6	产品B	1[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬3
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/6	产品C	1416
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/7	产品A	1343
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/7	产品B	1285
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/7	产品C	1448
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/8	产品A	1[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬6
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/8	产品C	1410
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/9	产品B	1226
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/9	产品C	1450
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/10	产品B	1291
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/10	产品C	1407
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/11	产品B	1103
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/11	产品C	1415
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/12	产品A	1[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬6
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/12	产品B	1291
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/13	产品B	1152
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/13	产品C	1369
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/14	产品A	1587
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/14	产品B	1166
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/14	产品C	1413
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/15	产品A	1572
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/16	产品A	1299
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/16	产品B	1190
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/16	产品C	1410
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/17	产品B	1122
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/17	产品C	1436
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/18	产品A	1513
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/18	产品B	1213
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/18	产品C	1421
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/19	产品A	1396
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/19	产品B	1247
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/19	产品C	1378
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品C	1436
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/21	产品A	1362
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/21	产品B	1210
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/21	产品C	1385
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/22	产品B	1230
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/23	产品A	1349
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/23	产品B	1188
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/23	产品C	1390
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/24	产品A	1335
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/24	产品B	1125
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/24	产品C	1391
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/25	产品C	1428
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/26	产品A	1545
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/26	产品B	1114
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/27	产品A	1421
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/27	产品B	1275
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/27	产品C	1441
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/28	产品A	1282
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/29	产品A	1279
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/29	产品B	1142
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/29	产品C	1415
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/4/30	产品C	1447
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/1	产品A	1227
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/1	产品B	1300
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/1	产品C	1353
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/2	产品A	1364
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/2	产品B	1293
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/3	产品A	1438
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/3	产品B	1364
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/3	产品C	1389
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/4	产品A	1451
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/4	产品B	1239
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/4	产品C	1383
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/5	产品A	1417
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/5	产品B	1303
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/6	产品A	1[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬1
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/6	产品B	1356
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/6	产品C	1335
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/7	产品A	1548
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/7	产品C	1341
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/8	产品A	1433
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/8	产品B	1286
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/8	产品C	1363
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/9	产品A	1599
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/9	产品B	1307
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/9	产品C	1360
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/10	产品A	1512
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/10	产品B	1267
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/10	产品C	1363
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/11	产品A	1395
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/11	产品B	1388
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/11	产品C	1389
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/12	产品C	1400
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/13	产品A	1377
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/13	产品B	1250
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/13	产品C	1309
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/14	产品B	1331
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/14	产品C	1333
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/15	产品A	1293
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/15	产品B	1369
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/16	产品A	1441
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/16	产品B	1221
